LGA,Lat,Long,Count,Average Severity,Area,Population,Count/Population,Count/Area
KINGSTON,-38.02207841,145.1241141,145,2.682758621,2040,16490,0.008793208,0.071078431
HUME,-37.68746314,144.9165311,198,2.914141414,4267,19875,0.009962264,0.046402625
MANNINGHAM,-37.79215142,145.1238093,53,2.641509434,1748,49388,0.001073135,0.030320366
DAREBIN,-37.77011839,145.0267191,158,2.715189873,4408,1702,0.092831962,0.03584392
SHEPPARTON,-36.34755842,145.4157883,60,2.5,8.6,3,20,6.976744186
PORT PHILLIP,-37.83338907,144.9592471,107,2.794392523,21,113200,0.00094523,5.095238095
WYNDHAM,-37.87763875,144.6827831,195,2.738461538,433,41429,0.004706848,0.45034642
CASEY,-38.09340215,145.3472813,274,2.689781022,1283,107120,0.002557879,0.213561964
BOROONDARA,-37.80676049,145.1026237,117,2.717948718,2353,14024,0.008342841,0.049723757
SOUTHERN GRAMPIANS,-37.81954494,141.7304635,17,2.176470588,6654,2569,0.006617361,0.002554854
FRANKSTON,-38.15588371,145.1685524,111,2.621621622,20940,46818,0.002370883,0.00530086
SWAN HILL,-35.30791059,143.4933141,26,2.615384615,6115,20759,0.001252469,0.00425184
BENDIGO,-36.88782564,144.2877076,120,2.575,2353,14024,0.00855676,0.050998725
MORELAND,-37.72727324,144.9465725,157,2.929936306,2111,34158,0.004596288,0.074372335
GLEN EIRA,-37.92070937,145.068689,140,2.7,39,153858,0.00090993,3.58974359
MOONEE VALLEY,-37.76129956,144.8616158,100,2.92,43,127883,0.000781965,2.325581395
